date,new_cases_per_million,total_cases_per_million,total_deaths_per_million,new_vaccinations_smoothed_per_million
2021-04-13,351.153,36451.196,944.5369999999999,6221.0
2021-04-14,371.39599999999996,36822.592000000004,947.998,6385.0
2021-04-15,299.699,37122.291,950.922,6294.0
2021-04-16,284.732,37407.024,953.572,6244.0
2021-04-17,241.06099999999998,37648.084,954.4910000000001,6233.0
2021-04-18,14.525,37662.609,955.4580000000001,6242.0
2021-04-19,138.63,37801.24,959.05,6214.0
2021-04-20,374.73800000000006,38175.977999999996,962.953,6187.0
2021-04-21,290.676,38466.654,966.0319999999999,6084.0
2021-04-22,378.605,38845.258,969.195,6007.0
2021-04-23,265.707,39110.966,972.645,5934.0
2021-04-24,172.13299999999998,39283.099,974.053,5945.0
2021-04-25,183.794,39466.893,974.7810000000001,5974.0
2021-04-26,71.14699999999999,39538.04,978.815,6023.0
2021-04-27,309.26,39847.3,982.587,6412.0
2021-04-28,337.332,40184.632000000005,985.7260000000001,7106.0
2021-04-29,288.981,40473.613,989.0319999999999,7627.0
2021-04-30,170.987,40644.601,991.801,8051.0
2021-05-01,221.22400000000002,40865.825,993.1139999999999,7993.0
2021-05-02,104.74600000000001,40970.57,994.128,7959.0
2021-05-03,65.764,41036.335,997.8639999999999,7993.0
2021-05-04,287.776,41324.11,1001.2660000000001,8086.0
2021-05-05,268.047,41592.157,1004.262,8105.0
2021-05-06,213.84799999999998,41806.005,1007.6510000000001,8165.0
2021-05-07,180.106,41986.111,1010.444,8284.0
2021-05-08,156.653,42142.764,1011.9960000000001,8426.0
2021-05-09,0.0,42142.764,1012.6519999999999,8460.0
2021-05-10,87.38,42230.143,1015.923,8679.0
2021-05-11,235.081,42465.224,1019.1089999999999,9062.0
2021-05-12,78.655,42543.879,1019.8969999999999,9441.0
2021-05-13,162.692,42706.570999999996,1024.695,8475.0
